taxonomy_id	FMD_002	FMD_003	FMD_004	FMD_006	FMD_007	FMD_008	FMD_009	FMD_012	FMD_013	FMD_014	FMD_015	FMD_017	FMD_021	FMD_023	FMD_024	FMD_025	FMD_026	FMD_027	FMD_028	FMD_029	FMD_032	FMD_033	FMD_034	FMD_035	FMD_037	FMD_038	FMD_039_040	FMD_043_044	FMD_050	FMD_051	FMD_052	FMD_058	FMD_059	NC1	NC2	NC3	NC4
1913578	18	94	37	61	45	92	100	37	0	0	127	0	22	0	42	81	0	22	14	0	0	0	44	15	29	15	43	0	28	17	14	0	14	0	0	0	0
84110	115	110	71	87	23	141	74	60	73	146	49	171	147	113	65	149	192	80	127	139	34	95	65	119	100	45	97	44	35	126	104	163	19	30	12	0	0
2714932	65	467	138	454	126	360	618	263	53	0	183	0	94	0	440	218	0	0	0	58	0	0	323	75	107	100	201	73	129	62	103	61	56	0	0	0	0
648995	1306	10621	3125	8350	4015	10126	6256	7830	312	946	17705	219	1591	197	3370	16040	269	372	837	954	262	386	6986	1546	767	3590	3220	643	1815	1990	1481	2955	1472	1917	73	106	0
2025658	75	199	63	263	70	276	152	472	0	0	192	18	32	0	865	115	0	0	21	0	0	0	264	15	17	55	82	16	76	24	16	18	14	23	0	0	0
1548547	20	89	22	56	29	79	64	82	10	0	88	0	13	0	52	60	0	0	0	0	0	0	60	18	18	20	28	0	11	0	0	17	15	28	0	0	0
58138	0	19	26	27	0	27	28	31	12	0	23	0	0	0	46	26	0	0	0	0	0	0	14	0	0	30	19	0	27	0	13	0	17	0	0	0	0
35818	29	215	75	295	32	119	217	31	0	0	38	0	0	0	135	21	0	10	11	0	0	20	69	10	15	202	52	52	22	0	0	60	0	0	0	0	0
70799	107	526	431	557	148	281	881	202	70	11	170	0	34	28	625	335	0	53	25	52	0	18	483	154	153	453	258	81	142	15	111	178	55	80	0	0	0
2653853	126	517	166	363	168	345	240	356	42	0	877	0	43	14	198	219	0	15	69	89	15	14	429	92	44	129	123	37	100	41	61	105	68	32	0	0	0
1196095	18	298	97	67	32	55	59	66	12	0	28	0	23	0	50	80	0	34	37	0	92	60	77	40	15	68	47	0	51	0	55	39	44	0	0	0	0
477680	30	143	65	144	96	83	161	80	11	0	101	0	30	0	102	101	0	19	0	11	0	22	108	35	30	57	46	30	39	0	59	28	36	0	0	0	0
2495430	389	1573	615	1417	709	1170	1734	1127	167	0	765	61	203	42	869	467	0	83	75	99	0	103	2804	332	233	774	625	617	133	139	144	934	163	0	0	0	0
1006005	0	0	0	0	0	0	0	16	0	0	0	0	14	0	0	0	0	13	12	0	72	0	0	0	0	0	0	0	0	0	0	36	0	1190	0	0	0
1670831	141	630	119	406	266	519	481	621	30	56	444	33	130	0	384	502	0	28	26	52	16	39	347	120	74	222	220	84	79	64	54	344	63	37	0	0	0
1545702	0	62	0	18	0	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2591031	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
415229	153	1078	494	2550	303	1682	1278	995	90	26	3612	63	255	0	535	1148	0	73	35	170	37	54	1401	162	140	430	407	112	228	123	169	197	152	60	14	28	11
56459	37	2246	112	380	95	328	286	212	19	19	680	33	77	0	102	307	25	23	17	70	22	0	189	44	36	89	88	19	85	33	36	83	44	0	0	0	0
2812560	471	2654	756	2357	869	2363	2238	4949	166	94	1360	79	327	23	2532	1064	17	185	151	204	61	121	1531	483	422	1078	983	540	217	221	281	607	270	97	31	94	56
66821	0	0	0	21	0	15	0	13	0	0	17	0	0	0	19	0	0	0	0	0	22	0	19	0	0	18	14	0	0	0	0	0	0	0	0	0	0
