taxonomy_id	name
323284	Alcaligenes_aquatilis
2714936	Lysobacter_sp._HDW10
571256	Brucella_pituitosa
2668067	Marinobacterium_sp._LSUCC0821
960	Bacteriovorax_stolpii
691437	Geobacillus_sp._C56-T3
1442554	Synechococcus_sp._MEDNS5
2116510	Mycetocola_sp._JXN-3
1982257	Propionibacterium_virus_Lauchelly
1774	Mycobacteroides_chelonae
60035	Geobacter_bremensis
1515612	Sphingopyxis_fribergensis
52133	Acinetobacter_venetianus
2282309	Leclercia_sp._W17
2566013	Cellulomonas_shaoxiangyii
84032	Pseudoclostridium_thermosuccinogenes
1648404	Aurantiacibacter_atlanticus
2290922	Lysobacter_sp._TY2-98
1869241	Nostoc_sp._CENA543
47865	Micromonospora_inositola
2560492	Gordonia_virus_Eyre
28454	Sphingobacterium_multivorum
299146	Micromonospora_narathiwatensis
168697	Salinispora_arenicola
1827285	Acinetobacter_sp._MYb10
97481	Pasteurella_skyensis
216465	Polaromonas_naphthalenivorans
1137095	Scytonema_sp._HK-05
37927	Sinomonas_atrocyanea
1856685	Pseudomonas_sp._TCU-HL1
1042156	Clostridium_sp._SY8519
1690805	Propionibacterium_phage_PAC1
1844999	Listeria_sp._PSOL-1
2482769	Serratia_sp._P2ACOL2
298596	Sporosarcina_ureilytica
2033	Microbacterium_testaceum
1924732	Staphylococcus_virus_G15
114880	Mycoplasma_columbinasale
2145	Spiroplasma_taiwanense
2005046	Stenotrophomonas_sp._WZN-1
599	Salmonella_sp.
1163710	Cronobacter_condimenti
562959	Paenibacillus_cellulositrophicus
2033032	Aeromonas_sp._CA23
1785128	Acinetobacter_lactucae
57480	Microvirgula_aerodenitrificans
1332188	Candidatus_Saccharimonas_aalborgensis
1178515	Paenibacillus_swuensis
583357	Thermoanaerobacter_mathranii
29303	Streptomyces_cattleya
1581557	Candidatus_Methylopumilus_planktonicus
2746	Halomonas_elongata
1980960	Cronobacter_virus_PBES02
650	Aeromonas_jandaei
239935	Akkermansia_muciniphila
2588711	Pelagovum_pacificum
1159327	Pontimonas_salivibrio
53409	Pseudomonas_coronafaciens
2654547	Pseudactinotalea_sp._HY158
82135	Fannyhessea_vaginae
2546359	Gloeothece_verrucosa
2545798	Cedecea_sp._FDAARGOS_727
303	Pseudomonas_putida
2675794	Enterobacteriaceae_endosymbiont_of_Plateumaris_consimilis
1925548	Candidatus_Fonsibacter_ubiquis
2138	Spiroplasma_poulsonii
76517	Campylobacter_hominis
1674146	Borreliella_mayonii
2711221	Vibrio_sp._ZWAL4003
2594003	Ferrovibrio_terrae
1718	Corynebacterium_glutamicum
1941349	Sedimentisphaera_salicampi
1323375	Anoxybacter_fermentans
1867	Actinoplanes_teichomyceticus
1603	Amylolactobacillus_amylophilus
44742	Desulfovibrio_fairfieldensis
44251	Paenibacillus_durus
2782168	Microbacterium_sp._WY121
1827144	Synechococcus_sp._NIES-970
1471400	Corynebacterium_pelargi
1940690	Idiomarina_andamanensis
2009331	Bacillus_sp._MD-5
1697053	Oblitimonas_alkaliphila
221358	Synechococcus_sp._RS9915
2674991	Cohnella_candidum
43263	Pseudomonas_alcaligenes
33900	Streptomyces_murinus
2776706	Thermofilum_sp._3507LT
1813879	Sphingomonas_panacisoli
103816	Rhodococcus_pyridinivorans
28188	Capnocytophaga_canimorsus
269673	Sporolactobacillus_terrae
1911586	Marinilactibacillus_sp._15R
203	Campylobacter_rectus
563	Shimwellia_blattae
85643	Thauera_sp._MZ1T
505	Kingella_oralis
2590012	Lysinibacillus_sp._FJAT-51161
2512240	Sulfolobus_sp._S-194
940614	Granulicella_mallensis
1673428	Cuniculiplasma_divulgatum
2725997	Escherichia_sp._SCLE84
1371	Marinococcus_halophilus
683124	Flavobacterium_haoranii
1325111	Bradyrhizobium_sp._CCBAU_53338
2587848	Bacillus_sp._THAF10
2497860	Cellulosilyticum_sp._WCF-2
1851505	Cyanobium_sp._NIES-981
930806	Halioglobus_pacificus
1932881	Pacmanvirus_A23
2483623	Mycobacterium_phage_CRB2
2304600	Breoghania_sp._L-A4
28199	Arcobacter_nitrofigilis
216935	Spiroplasma_culicicola
471189	Gordonibacter_pamelaeae
225991	Comamonas_aquatica
2108365	Tepiditoga_spiralis
32025	Helicobacter_hepaticus
68909	Deinococcus_geothermalis
658632	Pseudomonas_sp._R11-23-07
712528	Selenomonas_sp._oral_taxon_126
2051906	Exiguobacterium_sp._N4-1P
1408204	Candidatus_Endomicrobium_trichonymphae
1625	Fructilactobacillus_sanfranciscensis
196403	Baboon_endogenous_virus
2750620	Chryseoglobus_indicus
971279	Palaeococcus_pacificus
261292	Nitrosomonas_sp._Is79A3
187101	Sneathia_vaginalis
2592334	Nocardioides_sp._JQ2195
2774190	Brevundimonas_sp._LVF2
28264	Arcanobacterium_haemolyticum
2774189	Brevundimonas_sp._LVF1
1891787	Roseobacter_ponti
1805827	Rhodococcus_sp._MTM3W5.2
2558361	Swingsia_sp._F3b2
1280	Staphylococcus_aureus
1774743	Bacillus_sp._SDLI1
2675225	Novosphingobium_sp._Gsoil_351
1246	Leuconostoc_lactis
657387	Kushneria_phosphatilytica
1855823	Macrococcus_canis
483547	Geoalkalibacter_subterraneus
488732	Burkholderia_diffusa
1463158	Thermomonas_carbonis
499229	Tepidanaerobacter_acetatoxydans
639310	Olleya_aquimaris
122291	Kappapapillomavirus_1
1632865	Pirellula_sp._SH-Sr6A
2607753	Streptomyces_sp._INR7
2736252	Aquimarina_sp._TRL1
114186	Candidatus_Carsonella_ruddii
309805	Persephonella_marina
2545799	Capnocytophaga_sp._FDAARGOS_737
1849031	Exiguobacterium_sp._U13-1
214888	Entomoplasma_luminosum
2072936	Sphingobium_sp._SCG-1
2045200	Pseudomonas_sp._s211(2017)
1476754	Streptomyces_sp._604F
2742673	Enterobacter_sp._RHBSTW-00975
1176587	Niabella_ginsenosidivorans
2589797	Georgenia_sp._Z443
2004957	Human_associated_gemykibivirus_2
2201356	Pseudomonas_sp._31-12
1609966	Confluentimicrobium_sp._EMB200-NS6
2486578	Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora
454	Legionella_israelensis
2764186	Sphingomonas_sp._sand1-3
33943	Kyrpidia_tusciae
41673	Acidianus_brierleyi
137545	Serratia_quinivorans
28200	Aliarcobacter_skirrowii
398743	Zunongwangia_profunda
251535	Candidatus_Blochmannia_vafer
587	Providencia_rettgeri
1563222	Citrobacter_pasteurii
31909	Halothermothrix_orenii
664683	Halomonas_titanicae
151276	Bacteroides_coprosuis
2079234	Corynebacterium_geronticis
2785909	Halomonas_sp._A40-4
1792508	Yangia_sp._CCB-MM3
484770	Pelosinus_sp._UFO1
980254	Roseimaritima_ulvae
1712654	Thermococcus_piezophilus
593909	Mesorhizobium_opportunistum
417368	Enterococcus_thailandicus
2028345	Pusillimonas_thiosulfatoxidans
2744516	Mesorhizobium_sp._113-3-3
687349	Torque_teno_virus_10
2214	Methanosarcina_acetivorans
687352	Torque_teno_virus_13
413503	Cronobacter_malonaticus
1244	Leuconostoc_gelidum
687358	Torque_teno_virus_19
1445505	Gynuella_sunshinyii
1576550	Candidatus_Kinetoplastibacterium_sorsogonicusi
2109685	Olsenella_sp._GAM18
374982	Synechococcus_sp._PCC_73109
2580412	Thiomicrorhabdus_sediminis
2692234	Streptomyces_sp._GS7
2735870	Spirosoma_taeanense
356837	Azoarcus_sp._DN11
2774055	Kluyvera_genomosp._3
1398	Weizmannia_coagulans
2042057	Pectobacterium_polaris
964	Herbaspirillum_seropedicae
414996	Actinopolyspora_erythraea
29495	Vibrio_navarrensis
2072024	Mocis_latipes_granulovirus
1111760	Streptococcus_troglodytae
418701	Litoricola_lipolytica
654	Aeromonas_veronii
233055	Desulfitobacterium_dichloroeliminans
2016196	Hyphomonas_sp._KY3
1654740	Propionibacterium_phage_BruceLethal
2606626	Sodaliphilus_pleomorphus
67260	Streptomyces_cinereoruber
1002672	Candidatus_Pelagibacter_sp._IMCC9063
192812	Qipengyuania_flava
1794699	Thermodesulfobium_acidiphilum
83262	Mycobacteroides_immunogenum
435897	Lysobacter_capsici
1437453	Streptomyces_leeuwenhoekii
2496265	Jeotgalibaca_ciconiae
1314	Streptococcus_pyogenes
117207	Sphingopyxis_alaskensis
2664091	Streptococcus_sp._zg-86
1484158	Pantoea_sp._PSNIH1
29561	Mycoplasma_meleagridis
1479019	Methylobacterium_sp._C1
2819349	Brevilactibacter_sp._MC1595
47678	Bacteroides_caccae
258224	Corynebacterium_resistens
2748320	Flavobacterium_sp._P2-65
1758189	Acinetobacter_sp._ACNIH2
2016596	Azoarcus_sp._M9-3-2
1337936	Calothrix_sp._336/3
2761578	Mycolicibacterium_sp._LJ126
1850254	Poseidonibacter_parvus
1914525	Sphingopyxis_sp._FD7
2694930	Pontibacter_pudoricolor
165096	Weissella_koreensis
1699621	Psychrobacter_sp._P11F6
2588937	Curtobacterium_sp._csp3
338565	Erwinia_tasmaniensis
241425	Crinalium_epipsammum
2777983	Paenibacillus_sp._JNUCC-31
1173283	Pseudomonas_sp._R3-18-08
1272	Kocuria_varians
1160721	Ruminococcus_bicirculans
178399	Marinomonas_primoryensis
783	Rickettsia_rickettsii
76258	Vibrio_rumoiensis
484	Neisseria_flavescens
2003370	Salinivibrio_sp._YCSC6
1436085	Streptomyces_sp._F8
2728021	Duganella_sp._AF9R3
2724901	Nitratiruptor_sp._YY09-18
317660	Streptomyces_sp._F2
1756150	Elizabethkingia_ursingii
78398	Pectobacterium_odoriferum
224399	Adoxophyes_honmai_nucleopolyhedrovirus
67081	Mycolicibacterium_alvei
712116	Actinomyces_sp._oral_taxon_169
2675783	Enterobacteriaceae_endosymbiont_of_Donacia_semicuprea
1763535	Hydrogenophaga_crassostreae
431306	Acetobacter_ghanensis
288000	Bradyrhizobium_sp._BTAi1
1307763	Kiritimatiella_glycovorans
1028420	Psychrobacter_sp._DAB_AL62B
1294143	Pseudomonas_sp._ATCC_13867
119206	Aerococcus_sanguinicola
1667168	Dermabacter_jinjuensis
1882831	Verrucomicrobium_sp._GAS474
1935204	[Arcobacter]_porcinus
1922217	Candidatus_Erwinia_haradaeae
1965282	Shewanella_khirikhana
2675877	Hymenobacter_sp._BRD67
546160	Dietzia_lutea
1967783	Chlamydia_sp._S15-834C
300231	Glaciecola_nitratireducens
1577791	Candidatus_Methanoplasma_termitum
1808001	Acinetobacter_sp._LoGeW2-3
2711215	Sphingosinithalassobacter_sp._zrk23
2734215	Microbacterium_virus_Appa
41	Stigmatella_aurantiaca
762954	Siansivirga_zeaxanthinifaciens
444444	Chelatococcus_daeguensis
1678128	Limnohabitans_sp._63ED37-2
64160	Desulfurobacterium_thermolithotrophum
118000	Denitrovibrio_acetiphilus
29494	Vibrio_furnissii
39488	Anaerobutyricum_hallii
2760083	Tomitella_sp._HY172
1968788	Mycolicibacterium_sp._CBMA_213
2026240	Klebsiella_quasivariicola
400770	Devosia_ginsengisoli
2496836	Streptomyces_cyaneochromogenes
2594454	Streptomyces_sp._RLB1-9
590652	Mycobacterium_paraseoulense
1823	Nocardia_otitidiscaviarum
405	Methylobacillus_flagellatus
1884263	Selenomonas_sp._oral_taxon_920
2773308	Halomonas_sp._YLGW01
337243	Halorubrum_ezzemoulense
1288636	Ornithinimicrobium_flavum
714	Aggregatibacter_actinomycetemcomitans
225848	Shewanella_psychrophila
229980	Aeropyrum_camini
1510466	Candidatus_Nitrosopumilus_koreensis
2725477	Pseudomonas_sp._TUM18999
640330	Mycoplasma_sp._Pen4
1758194	Achromobacter_sp._AONIH1
2781735	Saccharothrix_sp._6-C
2116657	Pulveribacter_suum
1789	Mycobacterium_xenopi
1069	Rhodomicrobium_vannielii
2130	Ureaplasma_urealyticum
82380	Microbacterium_oxydans
59610	Desulfotomaculum_reducens
1307839	Salinivirga_cyanobacteriivorans
83984	Methanocorpusculum_labreanum
247	Empedobacter_brevis
64897	Borreliella_bissettiae
387093	Sulfurovum_sp._NBC37-1
13769	Natrialba_magadii
430522	Pedobacter_steynii
136609	Leuconostoc_kimchii
603050	Malaciobacter_mytili
2018065	Roseomonas_sp._FDAARGOS_362
114615	Bradyrhizobium_sp._ORS_278
34073	Variovorax_paradoxus
562	Escherichia_coli
2211106	Thiomicrorhabdus_aquaedulcis
331648	Nonlabens_spongiae
1399115	Exiguobacterium_sp._MH3
2572090	Nostoc_sp._TCL240-02
2426	Teredinibacter_turnerae
2724469	Serratia_sp._JUb9
2079596	Acinetobacter_sp._SWBY1
466153	Singulisphaera_acidiphila
353800	Halostagnicola_larsenii
42881	Streptomyces_chromofuscus
1737446	Chitinibacter_fontanus
89152	Peptacetobacter_hiranonis
182210	Pseudodesulfovibrio_aespoeensis
1924731	Staphylococcus_virus_P108
1235990	Candidatus_Pantoea_carbekii
82985	Pragia_fontium
40577	Xenorhabdus_poinarii
2077136	Enterobacter_cloacae_complex_sp._FDA-CDC-AR_0164
754417	Winogradskyella_sp._PC-19
1871111	Acinetobacter_defluvii
139208	Isoptericola_variabilis
404582	Micrococcus_sp._V7
29553	Mycoplasma_bovirhinis
1340	Streptococcus_porcinus
44250	Paenibacillus_alvei
271097	Shewanella_sediminis
797291	Sphingobacterium_lactis
585425	Synechococcus_sp._KORDI-52
604330	Olsenella_umbonata
200	Campylobacter_curvus
269660	Methylobacterium_brachiatum
340345	Actinoalloteichus_hymeniacidonis
2560514	Gordonia_virus_Yvonnetastic
2478912	Commensalibacter_sp._AMU001
1960083	Actinomyces_gaoshouyii
1985873	Sulfuriferula_sp._AH1
53344	Staphylococcus_delphini
1295	Staphylococcus_schleiferi
43357	Kutzneria_albida
1235591	Pseudorhodoplanes_sinuspersici
2339259	Yersinia_hibernica
454155	Paraprevotella_xylaniphila
1394889	Thermosynechococcus_sp._NK55a
